Name,Party
George Washington,Independent
John Adams,Federalist
Thomas Jefferson,Democratic-Republican
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
John Quincy Adams,Democratic-Republican/National Republican
Andrew Jackson,Democratic
Martin Van Buren,Democratic
William Henry Harrison,Whig
John Tyler,Whig
James K. Polk,Democratic
Zachary Taylor,Whig
Millard Fillmore,Whig
Franklin Pierce,Democratic
James Buchanan,Democratic
Abraham Lincoln,Republican/National Union
Andrew Johnson,Republican/National Union
Ulysses S. Grant,Republican
Rutherford B. Hayes,Republican
James A. Garfield,Republican
Chester A. Arthur,Republican
Grover Cleveland,Democratic
Benjamin Harrison,Republican
William McKinley,Republican
Theodore Roosevelt,Republican
William Howard Taft,Republican
Woodrow Wilson,Democratic
Warren G. Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Franklin D. Roosevelt,Democratic
Harry S. Truman,Democratic
Dwight D. Eisenhower,Republican
John F. Kennedy,Democratic
Lyndon B. Johnson,Democratic
Richard Nixon,Republican
Gerald Ford,Republican
Jimmy Carter,Democratic
Ronald Reagan,Republican
George H. W. Bush,Republican
Bill Clinton,Democratic
George W. Bush,Republican
Barack Obama,Democratic
Donald Trump,Republican
